value
0.86236
0.86224
0.86215
0.86201
0.86182
0.8617
0.86151
0.86132
0.86109
0.86093
0.86085
0.86072
0.8605
0.86034
0.86016
0.85997
0.8598
0.85968
0.85947
0.85928
0.85911
0.8589
0.85872
0.85857
0.85835
0.85817
0.85795
0.85782
0.85761
0.85742
