value
0.84709
0.84689
0.84665
0.8464
0.84619
0.84606
0.84583
0.8457
0.84552
0.84526
0.84508
0.84489
0.84467
0.8445
0.8443
0.84407
0.84383
0.84368
0.84353
0.84331
0.84307
0.84288
0.84269
0.84254
0.84235
0.84213
0.84197
0.8418
0.84164
0.84144
