value
0.96576
0.96633
0.96668
0.96713
0.96834
0.96831
0.96867
0.96841
0.96832
0.96837
0.96886
0.96911
0.96926
0.96919
0.96917
0.96937
0.96932
0.96955
0.96966
0.96958
0.96986
0.97014
0.97005
0.97021
0.97002
0.96967
0.9693
0.96964
0.96938
0.96923
