value
0.821
0.822
0.822
0.823
0.824
0.824
0.826
0.825
0.828
0.827
0.828
0.827
0.827
0.828
0.826
0.827
0.827
0.828
0.825
0.828
0.828
0.828
0.829
0.829
0.830
0.829
0.830
0.830
0.831
0.830
