value
0.830
0.834
0.835
0.835
0.837
0.835
0.837
0.837
0.838
0.836
0.837
0.838
0.838
0.839
0.839
0.840
0.839
0.840
0.839
0.840
0.840
0.841
0.841
0.841
0.840
0.841
0.842
0.841
0.842
0.840
