value
0.842
0.838
0.842
0.841
0.842
0.841
0.841
0.843
0.842
0.843
0.843
0.844
0.844
0.845
0.845
0.845
0.847
0.846
0.848
0.847
0.848
0.847
0.843
0.846
0.845
0.847
0.846
0.848
0.848
0.846
