value
1.05909
1.0588
1.05788
1.05876
1.06032
1.0614
1.06903
1.07132
1.074
1.07598
1.07872
1.08206
1.0864
1.09062
1.09522
1.10036
1.10562
1.11114
1.11641
1.12202
1.12748
1.13289
1.13876
1.1447
1.15083
1.15722
1.163
1.16894
1.17474
1.18071
