value
1.08
1.26
1.36
1.31
1.35
1.49
1.54
1.56
1.57
1.58
1.58
1.59
1.6
1.61
1.62
1.63
1.63
1.63
1.64
1.64
1.65
1.66
1.67
1.69
1.7
1.71
1.73
1.74
1.75
1.77
