value
1.05219
1.05236
1.0519
1.05534
1.06103
1.06838
1.0763
1.08073
1.08613
1.09188
1.09826
1.11015
1.11564
1.12212
1.12665
1.13431
1.138
1.14464
1.15381
1.15819
1.15975
1.1692
1.17626
1.18397
1.18611
1.18991
1.19686
1.20425
1.20934
1.21279
