value
0.91
0.91
0.92
0.92
0.92
0.95
0.95
0.95
0.99
1.02
1.02
1.04
1.06
1.06
1.07
1.09
1.11
1.13
1.17
1.22
1.25
1.29
1.34
1.36
1.39
1.43
1.45
1.45
1.47
1.48
