value
1.05026
1.05292
1.05612
1.05897
1.06263
1.06785
1.06952
1.0759
1.07948
1.08329
1.0879
1.09404
1.09973
1.10468
1.11094
1.11557
1.12157
1.12658
1.1325
1.13871
1.14463
1.1504
1.15435
1.15813
1.16234
1.16893
1.17391
1.17963
1.18471
1.19135
