value
1.08
1.15
1.2
1.25
1.3
1.32
1.34
1.38
1.41
1.48
1.55
1.61
1.63
1.62
1.61
1.59
1.59
1.61
1.65
1.72
1.79
1.84
1.88
1.91
1.92
1.94
1.94
1.95
1.95
1.96
